arg,antibiotic_class
AAC(6')-Ie-APH(2'')-Ia,aminoglycoside
AAC(6')-Ii,aminoglycoside
ANT(4')-Ib,aminoglycoside
APH(3')-IIIa,aminoglycoside
ErmA,lincosamide_macrolide_streptogramin
ErmC,lincosamide_macrolide_streptogramin
ErmT,lincosamide_macrolide_streptogramin
PC1_beta-lactamase_(blaZ),penam
SAT-4,nucleoside
Staphylococcus_aureus_FosB,fosfomycin
Staphylococcus_aureus_norA,effluxpump
Staphylococcys_aureus_LmrS,effluxpump
aad(6),aminoglycoside
arlR,effluxpump
arlS,effluxpump
dfrC,diaminopyrimidine
dfrG,diaminopyrimidine
efmA,effluxpump
fexA,effluxpump
fusB,fusidicacid
fusC,fusidicacid
lnuA,lincosamide
lsaE,lincosamide_macrolide_oxazolidinone_phenicol_pleuromutilin_streptogramin_tetracycline
mecA,penam
mecI,penam
mecR1,penam
mepA,effluxpump
mepR,effluxpump
efmA,effluxpump
mphC,macrolide
msrA,lincosamide_macrolide_oxazolidinone_phenicol_pleuromutilin_streptogramin_tetracycline
msrC,lincosamide_macrolide_oxazolidinone_phenicol_pleuromutilin_streptogramin_tetracycline
mupA,mupirocin
tet(38),tetracycline
tet(K),tetracycline
tet(L),tetracycline
tetM,tetracycline
mgrA,effluxpump
